,sc_id,supercon_formula,cleaned_formula,material_dict,highest_Tc,average_Tc,std_Tc,entry_count,composition
1208,"[20636, 20952, 20953, 21150, 21752, 22223, 22336, 22337, 22338, 22339, 22405, 22406, 22445, 22446, 22447, 22471, 22472, 22550, 22608, 23075, 23165, 23222, 23554, 24595, 24992, 26267]",Li1Fe1As1,Li1Fe1As1,"{'As': 1.0, 'Fe': 1.0, 'Li': 1.0}",18.3,16.7730769231,1.3110646561000001,26,Li1 Fe1 As1
1209,[21151],Li1.1Fe1As1,Li1.1Fe1As1,"{'As': 1.0, 'Fe': 1.0, 'Li': 1.1}",20.0,20.0,0.0,1,Li1.1 Fe1 As1
1210,[24519],Sr2V0.9Mg0.1Fe1As1O3,Sr2V0.9Mg0.1Fe1As1O3,"{'As': 1.0, 'Fe': 1.0, 'Mg': 0.1, 'O': 3.0, 'Sr': 2.0, 'V': 0.9}",30.0,30.0,0.0,1,Sr2 V0.9 Mg0.1 Fe1 As1 O3
1211,[22292],Sr2Mg0.3Ti0.7Fe1As1O3,Sr2Mg0.3Ti0.7Fe1As1O3,"{'As': 1.0, 'Fe': 1.0, 'Mg': 0.30000000000000004, 'O': 3.0, 'Sr': 2.0, 'Ti': 0.7000000000000001}",36.7,36.7,0.0,1,Sr2 Mg0.3 Ti0.7 Fe1 As1 O3
1212,[21099],Na0.5Fe1As1,Na0.5Fe1As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 0.5}",12.0,12.0,0.0,1,Na0.5 Fe1 As1
1213,[22594],Na0.86Fe1As1,Na0.86Fe1As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 0.86}",26.0,26.0,0.0,1,Na0.86 Fe1 As1
1214,"[21098, 22407]",Na0.9Fe1As1,Na0.9Fe1As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 0.9}",18.0,12.5,5.5,2,Na0.9 Fe1 As1
1215,"[21096, 21097, 21129, 21451, 22836, 22837, 22929, 23548, 23593, 25207, 25631]",Na1Fe1As1,Na1Fe1As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 1.0}",26.0,11.4418181818,5.1314747449,11,Na1 Fe1 As1
1216,[25632],Na1Fe1Ni0.004As1,Na1Fe1Ni0.004As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 1.0, 'Ni': 0.004}",8.42,8.42,0.0,1,Na1 Fe1 Ni0.004 As1
1217,[25633],Na1Fe1Ni0.006As1,Na1Fe1Ni0.006As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 1.0, 'Ni': 0.006}",12.6,12.6,0.0,1,Na1 Fe1 Ni0.006 As1
1218,[25634],Na1Fe1Ni0.008As1,Na1Fe1Ni0.008As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 1.0, 'Ni': 0.008}",17.4,17.4,0.0,1,Na1 Fe1 Ni0.008 As1
1219,[25635],Na1Fe1Ni0.01As1,Na1Fe1Ni0.01As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 1.0, 'Ni': 0.01}",17.8,17.8,0.0,1,Na1 Fe1 Ni0.01 As1
1220,[25636],Na1Fe1Ni0.013As1,Na1Fe1Ni0.013As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 1.0, 'Ni': 0.013000000000000001}",17.7,17.7,0.0,1,Na1 Fe1 Ni0.013 As1
1221,[25637],Na1Fe1Ni0.015As1,Na1Fe1Ni0.015As1,"{'As': 1.0, 'Fe': 1.0, 'Na': 1.0, 'Ni': 0.015}",18.6,18.6,0.0,1,Na1 Fe1 Ni0.015 As1
